Event_ID,Event_Path,Event_Type,,Event_ID,Parameter_ID,Parameter_Name,Min,Max
1000,event:/PlayerCharacter/Movement/PC_Jogging,SFX,,0,1,MasterVolume,0,100
1001,event:/PlayerCharacter/Movement/PC_Running,SFX,,0,2,SFXVolume,0,100
1002,event:/PlayerCharacter/Movement/PC_Running_Stop,SFX,,0,3,AmbVolume,0,100
1003,event:/PlayerCharacter/Movement/PC_Jump,SFX,,0,4,BGMVolume,0,100
1004,event:/PlayerCharacter/Movement/PC_Landing,SFX,,0,5,PC_GroundID,0,2
1005,event:/PlayerCharacter/Movement/PC_Walking,SFX,,1013,10131,PC_Charging,0,100
1006,event:/PlayerCharacter/Movement/PC_Climing,SFX,,,,,,
1007,event:/PlayerCharacter/Movement/PC_Climing_Jump,SFX,,,,,,
1008,event:/PlayerCharacter/Weapon/PC_Weapon_Aiming,SFX,,,,,,
1009,event:/PlayerCharacter/Weapon/PC_Weapon_AimOut,SFX,,,,,,
1010,event:/PlayerCharacter/Weapon/PC_Weapon_Trigger,SFX,,,,,,
1011,event:/PlayerCharacter/Weapon/PC_Laser_Fire,SFX,,,,,,
1012,event:/PlayerCharacter/Weapon/PC_Impulse_Fire,SFX,,,,,,
1013,event:/PlayerCharacter/Weapon/PC_Railgun_Charging,SFX,,,,,,
1014,event:/PlayerCharacter/Movement/Hit/PC_Down_Ground,SFX,,,,,,
1015,event:/PlayerCharacter/Movement/Hit/PC_Hit_Metal,SFX,,,,,,
1016,event:/PlayerCharacter/Movement/Standing/PC_Hand,SFX,,,,,,
1017,event:/PlayerCharacter/Movement/Standing/PC_StandUp,SFX,,,,,,
1300,event:/Drone/Movement/DR_Flying,SFX,,,,,,
1301,event:/Drone/Action/DR_Scanning,SFX,,,,,,
1302,event:/Drone/Action/DR_Talking,SFX,,,,,,
1500,event:/Mob/Global/Shield/Mob_Shield_Idle,SFX,,,,,,
1501,event:/Mob/Global/Shield/Mob_Shield_Broken,SFX,,,,,,
1502,event:/Mob/Global/Hit/Mob_Effective_Hit,SFX,,,,,,
1503,event:/Mob/Global/Hit/Mob_Ignore_Hit,SFX,,,,,,
1504,event:/Mob/Arachne/Arachne_Crash,SFX,,,,,,
1505,event:/Mob/Arachne/Arachne_Destruction,SFX,,,,,,
1506,event:/Mob/Arachne/Arachne_Walking,SFX,,,,,,
1507,event:/Mob/DaddyLongLegs/Daddy_Walking,SFX,,,,,,
1508,event:/Mob/JirungE/JirungE_Crash,SFX,,,,,,
1509,event:/Mob/JirungE/JirungE_Walking,SFX,,,,,,
1510,event:/Mob/Medusa/Medusa_Destruction,SFX,,,,,,
1511,event:/Mob/Medusa/Medusa_Scanning,SFX,,,,,,
1512,event:/Mob/Medusa/Medusa_Walking,SFX,,,,,,
1700,event:/SFX/Explosion,SFX,,,,,,
1701,event:/SFX/Explosion_Small,SFX,,,,,,
1702,event:/Ambient/Test_Inside,AMB,,,,,,
1703,event:/Ambient/Test_Outside,AMB,,,,,,
4000,snapshot:/MasterVolume,Snapshot,,,,,,
4001,snapshot:/SFXVolume,Snapshot,,,,,,
4002,snapshot:/AmbVolume,Snapshot,,,,,,
4003,snapshot:/BGMVolume,Snapshot,,,,,,
4004,snapshot:/Local_Setting/DaddyLevelReverb,Snapshot,,,,,,
